arxiv_id,entrypoint,documentclass,docclass_params,pdflatex,lualatex,xelatex,xe<>pdf,xe<>lua
2306.06241,almost_paratopological.tex,elsarticle,[preprint],0.0,0.0,12.0,False,False
2306.01632,2306.01632,article,[12pt],0.0,0.0,0.0,False,False
2306.01063,cartsmsyn.tex,amsart,[oneside],12.0,12.0,12.0,True,False
2306.00145,main.tex,article,"[11pt, a4paper, UKenglish]",0.0,0.0,0.0,False,False
2306.01803,aipsamp.tex,revtex4-1,"[%aip,amsmath,amssymb,reprint,%]",0.0,0.0,0.0,False,False
2306.03768,2306.03768,amsproc,"[a4paper,10pt]",0.0,12.0,0.0,False,False
2306.00126,main.tex,article,[11pt],0.0,12.0,0.0,False,False
2306.00922,ResolutionEquationsFrancaisLatex5.tex,amsart,,0.0,0.0,0.0,False,False
2306.01235,2306.01235,amsart,"[J,12pt]",0.0,0.0,0.0,False,False
2306.10949,myosinpaper20230618_zhengwen.tex,revtex4,"[a4paper,twocolumn]",0.0,0.0,0.0,False,False
2306.00313,main.tex,amsart,"[letterpaper,11pt]",12.0,12.0,12.0,False,False
2306.08345,main.tex,acmart,"[sigconf, 10pt]",0.0,0.0,12.0,False,False
2306.00128,achemso-demo.tex,achemso,"[journal=jctcce,manuscript=article,layout=twocolumn]",0.0,0.0,0.0,False,False
2306.03766,MathPhys_en20230607.tex,revtex4,"[preprint,pra,aps]",0.0,12.0,0.0,False,False
2306.00573,main.tex,elsarticle,"[preprint,12pt]",0.0,0.0,0.0,False,False
2306.00741,2306.00741,amsart,,0.0,0.0,0.0,False,False
2306.00110,main.tex,article,,0.0,12.0,12.0,False,False
2306.00322,cosine_BDM_submit.tex,revtex4-1,"[%twocolumn,superscriptaddress,nofootinbib,amsmath,amssymb,prcaps,]",12.0,12.0,12.0,False,False
2306.00746,2306.00746,article,[12pt],0.0,0.0,0.0,False,False
2306.00574,SoftDefault_arXiv.tex,article,[11pt],12.0,12.0,12.0,False,False
2306.01660,main.tex,article,,12.0,12.0,12.0,False,False
2306.00580,main.tex,nbdt-article,[num-refs],0.0,0.0,,False,False
2306.00712,root.tex,article,[12pt],0.0,0.0,0.0,False,False
2306.00382,main-paper.tex,article,,0.0,0.0,0.0,False,False
2306.03960,vote.tex,article,"[12pt,a4paper]",12.0,12.0,12.0,False,False
2306.00371,manuscript-ax.tex,article,[11pt],0.0,0.0,0.0,False,False
2306.00181,main.tex,article,,0.0,12.0,0.0,False,False
2306.00511,2306.00511,amsart,[11.5pt],0.0,0.0,0.0,False,False
2306.00378,gps-anim.tex,acmart,[acmtog],12.0,12.0,12.0,False,False
2306.00516,sn-article.tex,sn-jnl,"[pdflatex,sn-mathphys]",0.0,0.0,0.0,False,False
2306.00340,main.tex,revtex4-2,"[amsmath,amssymb,twocolumn,superscriptaddress]",12.0,12.0,12.0,False,False
2306.00490,Photon_centroid_04.tex,iopart,"[12pt, a4paper, superscriptaddress, final]",12.0,12.0,12.0,False,False
2306.04202,main.tex,dccpaper,"[smallabstract,smallcaptions]",0.0,0.0,0.0,False,False
2306.00464,main.tex,acmart,"[sigconf, authorversion]",0.0,0.0,0.0,False,False
2306.00038,fedbot.tex,article,,0.0,0.0,0.0,False,False
2306.13848,main.tex,mdpi,"[entropy,article,accept,pdftex,moreauthors]",12.0,12.0,12.0,False,False
2306.00007,template.tex,article,,0.0,0.0,0.0,False,False
2306.00235,h-function-arxiv.tex,article,[11pt],0.0,0.0,0.0,False,False
2306.00031,main.tex,IEEEtran,[conference],0.0,0.0,0.0,False,False
2306.00203,main.tex,INTERSPEECH2023,,0.0,0.0,0.0,False,False
2306.02792,2306.02792,amsart,"[a4paper,12pt]",0.0,12.0,0.0,False,False
2306.00009,yang.tex,acmart,[sigconf],0.0,0.0,0.0,False,False
2306.00036,icml2023.tex,article,[nohyperref],0.0,12.0,0.0,False,False
2306.00096,PFI.tex,article,,0.0,0.0,0.0,False,False
2306.00062,2306.00062,revtex4-1,"[12pt,preprint,nofootinbib]",0.0,0.0,0.0,False,False
2306.00250,main.tex,revtex4-1,"[reprint, amsmath, amssymb, aps, superscriptaddress]",0.0,0.0,0.0,False,False
2306.05379,DDoptima_v1.0.tex,mhd,"[12pt,british]",0.0,12.0,12.0,False,False
2306.00257,Ambarzumyan-type_theorem_for_the_Sturm-Liouville_operator_on_the_lasso_graph.tex,amsart,"[reqno,11pt,centertags]",0.0,0.0,0.0,False,False
2306.00091,main.tex,article,,0.0,0.0,0.0,False,False
